RecordType,CreationDate,UserIds,Operations,AuditData,ResultIndex,ResultCount,Identity,IsValid,ObjectState
SharePointFileOperation,4/08/2026 10:34:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T10:34:00Z"",""Id"":""00000000-0000-4000-8000-000000000015"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-03.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",15,120,northstar-audit-015,true,Unchanged
SharePointFileOperation,4/08/2026 10:45:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T10:45:00Z"",""Id"":""00000000-0000-4000-8000-000000000016"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-04.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",16,120,northstar-audit-016,true,Unchanged
SharePointFileOperation,4/08/2026 10:56:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T10:56:00Z"",""Id"":""00000000-0000-4000-8000-000000000017"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-05.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",17,120,northstar-audit-017,true,Unchanged
SharePointFileOperation,4/08/2026 11:07:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T11:07:00Z"",""Id"":""00000000-0000-4000-8000-000000000018"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-06.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",18,120,northstar-audit-018,true,Unchanged
SharePointFileOperation,4/08/2026 11:18:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T11:18:00Z"",""Id"":""00000000-0000-4000-8000-000000000019"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-07.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",19,120,northstar-audit-019,true,Unchanged
SharePointFileOperation,4/08/2026 11:29:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T11:29:00Z"",""Id"":""00000000-0000-4000-8000-000000000020"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-08.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",20,120,northstar-audit-020,true,Unchanged
ExchangeItem,4/08/2026 11:40:00 AM,casey.morgan@northstar.example,Send,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T11:40:00Z"",""Id"":""00000000-0000-4000-8000-000000000021"",""Operation"":""Send"",""Organization"":""northstar.example"",""Recipients"":[""vendor@example.invalid""],""Subject"":""Updated payment instructions"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",21,120,northstar-audit-021,true,Unchanged
ExchangeItem,4/08/2026 11:51:00 AM,casey.morgan@northstar.example,SoftDelete,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T11:51:00Z"",""Id"":""00000000-0000-4000-8000-000000000022"",""Operation"":""SoftDelete"",""Organization"":""northstar.example"",""Subject"":""Unusual sign-in detected"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",22,120,northstar-audit-022,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 12:02:00 PM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T12:02:00Z"",""Id"":""00000000-0000-4000-8000-000000000023"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""SessionId"":""session-023"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",23,120,northstar-audit-023,true,Unchanged
ExchangeItemAggregated,4/08/2026 12:13:00 PM,casey.morgan@northstar.example,MailItemsAccessed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T12:13:00Z"",""Folder"":""Inbox"",""Id"":""00000000-0000-4000-8000-000000000024"",""Operation"":""MailItemsAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-024"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",24,120,northstar-audit-024,true,Unchanged
SharePointFileOperation,4/08/2026 12:24:00 PM,casey.morgan@northstar.example,FilePreviewed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T12:24:00Z"",""Id"":""00000000-0000-4000-8000-000000000025"",""Operation"":""FilePreviewed"",""Organization"":""northstar.example"",""SessionId"":""session-025"",""SiteUrl"":""https://northstar.example/sites/Operations"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",25,120,northstar-audit-025,true,Unchanged
SharePointFileOperation,4/08/2026 12:35:00 PM,casey.morgan@northstar.example,FileAccessed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T12:35:00Z"",""Id"":""00000000-0000-4000-8000-000000000026"",""Operation"":""FileAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-026"",""SourceFileName"":""Weekly-status.docx"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""OneDrive""}",26,120,northstar-audit-026,true,Unchanged
SharePoint,4/08/2026 12:46:00 PM,casey.morgan@northstar.example,PageViewed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T12:46:00Z"",""Id"":""00000000-0000-4000-8000-000000000027"",""ObjectId"":""https://northstar.example/sites/Operations/SitePages/Home.aspx"",""Operation"":""PageViewed"",""Organization"":""northstar.example"",""SessionId"":""session-027"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",27,120,northstar-audit-027,true,Unchanged
ExchangeItemGroup,4/08/2026 12:57:00 PM,casey.morgan@northstar.example,SearchQueryPerformed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T12:57:00Z"",""Id"":""00000000-0000-4000-8000-000000000028"",""Operation"":""SearchQueryPerformed"",""Organization"":""northstar.example"",""QueryText"":""project status"",""SessionId"":""session-028"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",28,120,northstar-audit-028,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 1:08:00 PM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T13:08:00Z"",""Id"":""00000000-0000-4000-8000-000000000029"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""SessionId"":""session-029"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",29,120,northstar-audit-029,true,Unchanged
ExchangeItemAggregated,4/08/2026 1:19:00 PM,casey.morgan@northstar.example,MailItemsAccessed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T13:19:00Z"",""Folder"":""Inbox"",""Id"":""00000000-0000-4000-8000-000000000030"",""Operation"":""MailItemsAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-030"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",30,120,northstar-audit-030,true,Unchanged
SharePointFileOperation,4/08/2026 1:30:00 PM,casey.morgan@northstar.example,FilePreviewed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T13:30:00Z"",""Id"":""00000000-0000-4000-8000-000000000031"",""Operation"":""FilePreviewed"",""Organization"":""northstar.example"",""SessionId"":""session-031"",""SiteUrl"":""https://northstar.example/sites/Operations"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",31,120,northstar-audit-031,true,Unchanged
SharePointFileOperation,4/08/2026 1:41:00 PM,casey.morgan@northstar.example,FileAccessed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T13:41:00Z"",""Id"":""00000000-0000-4000-8000-000000000032"",""Operation"":""FileAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-032"",""SourceFileName"":""Weekly-status.docx"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""OneDrive""}",32,120,northstar-audit-032,true,Unchanged
SharePoint,4/08/2026 1:52:00 PM,casey.morgan@northstar.example,PageViewed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T13:52:00Z"",""Id"":""00000000-0000-4000-8000-000000000033"",""ObjectId"":""https://northstar.example/sites/Operations/SitePages/Home.aspx"",""Operation"":""PageViewed"",""Organization"":""northstar.example"",""SessionId"":""session-033"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",33,120,northstar-audit-033,true,Unchanged
ExchangeItemGroup,4/08/2026 2:03:00 PM,casey.morgan@northstar.example,SearchQueryPerformed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T14:03:00Z"",""Id"":""00000000-0000-4000-8000-000000000034"",""Operation"":""SearchQueryPerformed"",""Organization"":""northstar.example"",""QueryText"":""project status"",""SessionId"":""session-034"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",34,120,northstar-audit-034,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 2:14:00 PM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T14:14:00Z"",""Id"":""00000000-0000-4000-8000-000000000035"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""SessionId"":""session-035"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",35,120,northstar-audit-035,true,Unchanged
ExchangeItemAggregated,4/08/2026 2:25:00 PM,casey.morgan@northstar.example,MailItemsAccessed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T14:25:00Z"",""Folder"":""Inbox"",""Id"":""00000000-0000-4000-8000-000000000036"",""Operation"":""MailItemsAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-036"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",36,120,northstar-audit-036,true,Unchanged
SharePointFileOperation,4/08/2026 2:36:00 PM,casey.morgan@northstar.example,FilePreviewed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T14:36:00Z"",""Id"":""00000000-0000-4000-8000-000000000037"",""Operation"":""FilePreviewed"",""Organization"":""northstar.example"",""SessionId"":""session-037"",""SiteUrl"":""https://northstar.example/sites/Operations"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",37,120,northstar-audit-037,true,Unchanged
SharePointFileOperation,4/08/2026 2:47:00 PM,casey.morgan@northstar.example,FileAccessed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T14:47:00Z"",""Id"":""00000000-0000-4000-8000-000000000038"",""Operation"":""FileAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-038"",""SourceFileName"":""Weekly-status.docx"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""OneDrive""}",38,120,northstar-audit-038,true,Unchanged
SharePoint,4/08/2026 2:58:00 PM,casey.morgan@northstar.example,PageViewed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T14:58:00Z"",""Id"":""00000000-0000-4000-8000-000000000039"",""ObjectId"":""https://northstar.example/sites/Operations/SitePages/Home.aspx"",""Operation"":""PageViewed"",""Organization"":""northstar.example"",""SessionId"":""session-039"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",39,120,northstar-audit-039,true,Unchanged
ExchangeItemGroup,4/08/2026 3:09:00 PM,casey.morgan@northstar.example,SearchQueryPerformed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T15:09:00Z"",""Id"":""00000000-0000-4000-8000-000000000040"",""Operation"":""SearchQueryPerformed"",""Organization"":""northstar.example"",""QueryText"":""project status"",""SessionId"":""session-040"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",40,120,northstar-audit-040,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 3:20:00 PM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T15:20:00Z"",""Id"":""00000000-0000-4000-8000-000000000041"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""SessionId"":""session-041"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",41,120,northstar-audit-041,true,Unchanged
ExchangeItemAggregated,4/08/2026 3:31:00 PM,casey.morgan@northstar.example,MailItemsAccessed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T15:31:00Z"",""Folder"":""Inbox"",""Id"":""00000000-0000-4000-8000-000000000042"",""Operation"":""MailItemsAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-042"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",42,120,northstar-audit-042,true,Unchanged
SharePointFileOperation,4/08/2026 3:42:00 PM,casey.morgan@northstar.example,FilePreviewed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T15:42:00Z"",""Id"":""00000000-0000-4000-8000-000000000043"",""Operation"":""FilePreviewed"",""Organization"":""northstar.example"",""SessionId"":""session-043"",""SiteUrl"":""https://northstar.example/sites/Operations"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",43,120,northstar-audit-043,true,Unchanged
SharePointFileOperation,4/08/2026 3:53:00 PM,casey.morgan@northstar.example,FileAccessed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T15:53:00Z"",""Id"":""00000000-0000-4000-8000-000000000044"",""Operation"":""FileAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-044"",""SourceFileName"":""Weekly-status.docx"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""OneDrive""}",44,120,northstar-audit-044,true,Unchanged
SharePoint,4/08/2026 4:04:00 PM,casey.morgan@northstar.example,PageViewed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T16:04:00Z"",""Id"":""00000000-0000-4000-8000-000000000045"",""ObjectId"":""https://northstar.example/sites/Operations/SitePages/Home.aspx"",""Operation"":""PageViewed"",""Organization"":""northstar.example"",""SessionId"":""session-045"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",45,120,northstar-audit-045,true,Unchanged
ExchangeItemGroup,4/08/2026 4:15:00 PM,casey.morgan@northstar.example,SearchQueryPerformed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T16:15:00Z"",""Id"":""00000000-0000-4000-8000-000000000046"",""Operation"":""SearchQueryPerformed"",""Organization"":""northstar.example"",""QueryText"":""project status"",""SessionId"":""session-046"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",46,120,northstar-audit-046,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 4:26:00 PM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T16:26:00Z"",""Id"":""00000000-0000-4000-8000-000000000047"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""SessionId"":""session-047"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",47,120,northstar-audit-047,true,Unchanged
ExchangeItemAggregated,4/08/2026 4:37:00 PM,casey.morgan@northstar.example,MailItemsAccessed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T16:37:00Z"",""Folder"":""Inbox"",""Id"":""00000000-0000-4000-8000-000000000048"",""Operation"":""MailItemsAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-048"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",48,120,northstar-audit-048,true,Unchanged
SharePointFileOperation,4/08/2026 4:48:00 PM,casey.morgan@northstar.example,FilePreviewed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T16:48:00Z"",""Id"":""00000000-0000-4000-8000-000000000049"",""Operation"":""FilePreviewed"",""Organization"":""northstar.example"",""SessionId"":""session-049"",""SiteUrl"":""https://northstar.example/sites/Operations"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",49,120,northstar-audit-049,true,Unchanged
SharePointFileOperation,4/08/2026 4:59:00 PM,casey.morgan@northstar.example,FileAccessed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T16:59:00Z"",""Id"":""00000000-0000-4000-8000-000000000050"",""Operation"":""FileAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-050"",""SourceFileName"":""Weekly-status.docx"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""OneDrive""}",50,120,northstar-audit-050,true,Unchanged
SharePoint,4/08/2026 5:10:00 PM,casey.morgan@northstar.example,PageViewed,"{""ClientIP"":""203.0.113.22"",""CreationTime"":""2026-08-04T17:10:00Z"",""Id"":""00000000-0000-4000-8000-000000000051"",""ObjectId"":""https://northstar.example/sites/Operations/SitePages/Home.aspx"",""Operation"":""PageViewed"",""Organization"":""northstar.example"",""SessionId"":""session-051"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",51,120,northstar-audit-051,true,Unchanged
ExchangeItemGroup,4/08/2026 5:21:00 PM,casey.morgan@northstar.example,SearchQueryPerformed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T17:21:00Z"",""Id"":""00000000-0000-4000-8000-000000000052"",""Operation"":""SearchQueryPerformed"",""Organization"":""northstar.example"",""QueryText"":""project status"",""SessionId"":""session-052"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",52,120,northstar-audit-052,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 5:32:00 PM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T17:32:00Z"",""Id"":""00000000-0000-4000-8000-000000000053"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""SessionId"":""session-053"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",53,120,northstar-audit-053,true,Unchanged
ExchangeItemAggregated,4/08/2026 5:43:00 PM,casey.morgan@northstar.example,MailItemsAccessed,"{""ClientIP"":""203.0.113.18"",""CreationTime"":""2026-08-04T17:43:00Z"",""Folder"":""Inbox"",""Id"":""00000000-0000-4000-8000-000000000054"",""Operation"":""MailItemsAccessed"",""Organization"":""northstar.example"",""SessionId"":""session-054"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",54,120,northstar-audit-054,true,Unchanged
